timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1772737200000,2076.6,2093.69,2072.38,2074.36,22325.8576,1772740799999,46485751.55,229965,9507.3621,19796439.852453
1772740800000,2074.37,2098.67,2070.09,2092.43,15608.8619,1772744399999,32577907.33,239920,9362.5006,19544143.048527
1772744400000,2092.42,2099.36,2075.77,2080.6,11396.4401,1772747999999,23794464.7,131516,5175.2379,10809173.578604
1772748000000,2080.61,2085.0,2077.6,2080.11,4816.1385,1772751599999,10024041.12,71856,2390.8784,4976275.182217
1772751600000,2080.11,2084.45,2069.72,2072.86,7822.1828,1772755199999,16242077.88,84637,2829.6143,5876056.120903
1772755200000,2072.86,2080.39,2067.7,2075.02,9180.2101,1772758799999,19042752.85,130527,4115.6099,8538696.140744
1772758800000,2075.03,2091.38,2061.79,2087.65,13630.6414,1772762399999,28313224.34,253824,6390.2825,13276857.149463
1772762400000,2087.66,2093.33,2080.66,2083.89,7620.4022,1772765999999,15897797.07,210939,3579.0481,7467382.015106
1772766000000,2083.89,2088.75,2075.28,2083.8,8645.163,1772769599999,18007900.95,165344,4142.0624,8629306.978129
1772769600000,2083.81,2085.88,2058.84,2070.86,14588.3921,1772773199999,30253166.26,194485,6228.8012,12916875.816816
1772773200000,2070.87,2074.19,2059.36,2068.94,10611.9387,1772776799999,21925689.8,168894,5058.7123,10454390.60019
1772776800000,2068.93,2080.53,2063.58,2074.03,7652.8744,1772780399999,15847861.47,107691,4164.3716,8624047.58174
1772780400000,2074.04,2087.66,2068.79,2082.83,12517.3472,1772783999999,26050083.9,111641,6869.999,14298901.14926
1772784000000,2082.83,2082.83,2074.33,2075.96,7247.9481,1772787599999,15069036.39,127295,3642.6616,7574015.598432
1772787600000,2075.96,2077.5,2045.79,2060.0,21572.2567,1772791199999,44382670.41,233664,9025.7487,18565793.553317
1772791200000,2060.0,2069.43,2058.72,2063.4,8988.1836,1772794799999,18555696.56,122563,4930.5436,10179363.897932
1772794800000,2063.41,2067.34,2049.85,2051.03,12852.7139,1772798399999,26463541.83,132116,5628.7918,11588502.38588
1772798400000,2051.03,2055.0,2037.22,2048.52,19883.338,1772801999999,40672304.5,245020,8358.6851,17100911.177199
1772802000000,2048.52,2062.12,2019.35,2019.88,37363.7986,1772805599999,76280907.24,416364,17428.1981,35594384.823748
1772805600000,2019.89,2024.35,1972.0,1981.55,77975.8063,1772809199999,155804535.71,862373,33700.0504,67320015.402668
1772809200000,1981.55,1998.0,1966.24,1978.01,36805.7997,1772812799999,73023423.26,525171,19889.6249,39469793.936954
1772812800000,1978.0,1984.97,1966.27,1971.29,26399.6306,1772816399999,52079503.38,373478,16092.9143,31742294.107441
1772816400000,1971.28,1982.13,1955.95,1966.76,23860.4367,1772819999999,46919892.69,339040,10719.7207,21081340.92352
1772820000000,1966.76,1983.46,1966.61,1974.62,15172.6068,1772823599999,30004974.35,253026,8728.3224,17261472.281289
1772823600000,1974.62,1993.3,1974.62,1983.75,9611.9432,1772827199999,19076551.05,182070,5551.7341,11018157.752808
1772827200000,1983.75,1988.69,1969.26,1978.63,14596.4669,1772830799999,28868428.13,216662,6276.8221,12415120.557476
1772830800000,1978.64,1984.64,1971.51,1983.77,4970.5242,1772834399999,9833221.27,85910,2526.7695,4999968.316155
1772834400000,1983.76,1989.91,1981.58,1987.22,4312.4784,1772837999999,8560660.23,75513,2353.8989,4672527.595104
1772838000000,1987.23,1987.75,1977.03,1978.68,5536.8561,1772841599999,10983245.01,67814,2200.5703,4364967.329847
1772841600000,1978.68,1983.27,1976.97,1981.45,3668.8535,1772845199999,7265599.76,57252,1988.3596,3937551.760421
1772845200000,1981.45,1983.7,1976.25,1980.68,7091.5619,1772848799999,14039855.58,65010,3622.0607,7171194.429395
1772848800000,1980.67,1984.63,1971.79,1983.52,7690.4614,1772852399999,15203527.78,65279,4210.4508,8323381.416564
1772852400000,1983.53,1996.04,1979.83,1980.21,9533.4524,1772855999999,18946344.04,100579,5082.0931,10101877.489178
1772856000000,1980.22,1980.22,1964.34,1975.35,9092.372,1772859599999,17927484.43,94027,4407.8847,8691497.447159
1772859600000,1975.35,1979.87,1972.46,1979.01,6131.9838,1772863199999,12121803.88,56733,2616.5482,5172410.134899
1772863200000,1979.01,1979.01,1968.81,1971.76,9083.1526,1772866799999,17933158.48,72401,5086.0961,10036827.715766
1772866800000,1971.77,1984.19,1967.07,1982.94,16455.6679,1772870399999,32503867.68,109934,6774.2896,13371751.715155
1772870400000,1982.94,1987.62,1975.5,1978.03,9725.3345,1772873999999,19290025.24,73430,5483.9793,10880499.189071
1772874000000,1978.02,1989.42,1975.38,1986.35,9442.4762,1772877599999,18736922.12,76810,3657.8446,7258501.655727
1772877600000,1986.35,1988.68,1983.32,1984.36,4111.341,1772881199999,8164579.7,60082,2236.1727,4440892.671051
1772881200000,1984.36,1994.98,1982.19,1988.91,6240.1404,1772884799999,12415012.49,80073,3873.809,7707075.230819
1772884800000,1988.92,1990.95,1979.84,1982.51,4069.8213,1772888399999,8079918.85,59256,1990.2808,3952276.554025
1772888400000,1982.51,1984.19,1977.64,1981.83,9076.3795,1772891999999,17985842.47,80900,3407.3952,6752015.750277
1772892000000,1981.83,1990.25,1970.47,1987.0,9828.667,1772895599999,19466047.64,140816,5533.5822,10965444.4975
1772895600000,1987.01,1987.41,1976.22,1981.04,6476.3298,1772899199999,12840601.88,114049,2917.0708,5784060.58764
1772899200000,1981.03,1981.03,1974.48,1977.26,5663.86,1772902799999,11199194.56,82094,2997.1286,5926386.779941
1772902800000,1977.26,1983.47,1976.19,1977.59,3883.3234,1772906399999,7689996.98,51689,2058.8563,4076999.309144
1772906400000,1977.59,1977.59,1965.78,1971.23,7635.9597,1772909999999,15051350.02,96861,3476.361,6851707.224742
1772910000000,1971.22,1971.23,1948.09,1955.2,17780.5108,1772913599999,34817592.64,176954,6412.174,12556927.211395
1772913600000,1955.2,1968.78,1954.89,1966.42,5668.1403,1772917199999,11131650.52,97671,2922.9511,5740656.585255
1772917200000,1966.42,1971.73,1963.97,1970.63,3666.4606,1772920799999,7215072.75,75361,2022.9697,3980927.100797
1772920800000,1970.62,1971.03,1958.36,1966.46,4432.0022,1772924399999,8715835.06,81656,2116.4643,4161962.438712
1772924400000,1966.47,1974.27,1965.49,1969.59,8011.5678,1772927999999,15787950.24,60626,4375.5708,8624235.608481
1772928000000,1969.6,1977.35,1966.66,1968.91,6916.061,1772931599999,13633078.85,66265,4422.1946,8717458.228137
1772931600000,1968.92,1971.9,1963.51,1968.95,4903.0232,1772935199999,9651950.84,70811,2338.4288,4603565.04631
1772935200000,1968.94,1969.98,1935.73,1942.34,30383.2688,1772938799999,59163565.19,187536,9677.8933,18854594.472951
1772938800000,1942.34,1951.74,1941.54,1947.67,10074.5213,1772942399999,19619617.35,114687,5352.0316,10425229.153417
1772942400000,1947.67,1953.37,1930.0,1938.4,34723.4901,1772945999999,67461965.01,141114,9988.0796,19405485.38765
1772946000000,1938.4,1952.54,1938.0,1949.0,5846.9549,1772949599999,11382361.0,99079,3783.5031,7364793.831321
1772949600000,1949.0,1952.33,1943.05,1948.05,5507.1103,1772953199999,10723429.89,68569,3299.0294,6423744.410992
1772953200000,1948.05,1960.41,1947.19,1955.23,7266.6162,1772956799999,14208612.3,90879,4214.3573,8240818.724024
1772956800000,1955.22,1960.59,1949.1,1959.73,5926.3635,1772960399999,11588272.58,69329,3112.0703,6087869.540884
1772960400000,1959.73,1970.1,1956.77,1963.54,10306.8601,1772963999999,20253063.59,100355,6684.7493,13135355.163427
1772964000000,1963.54,1979.8,1963.36,1974.18,41737.9695,1772967599999,82236001.49,117720,34479.0986,67916880.53554
1772967600000,1974.17,1974.32,1944.85,1951.38,12980.4562,1772971199999,25376892.0,148469,5470.7716,10693895.491714
1772971200000,1951.39,1954.67,1926.13,1946.29,43903.3569,1772974799999,85060920.67,247562,12741.6362,24698393.012409
1772974800000,1946.28,1948.18,1925.06,1944.29,24068.546,1772978399999,46619375.33,361353,11356.988,22007015.766958
1772978400000,1944.29,1950.58,1937.66,1945.52,8687.2684,1772981999999,16895885.9,230990,5187.9965,10091855.22147
1772982000000,1945.52,1947.83,1937.5,1943.32,7003.0693,1772985599999,13604064.88,177418,3564.6418,6924291.158304
